10.0,10.0,0.8,0.0,0.9,0.8,0.5,0.6,0.03,0.07,0.02,0.06,0.06,0.06
13.0,13.0,0.7692307692307693,0.6153846153846154,0.0,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.023668639053254437,0.01775147928994083,0.023668639053254437,0.04142011834319527,0.029585798816568046,0.047337278106508875
10.0,10.0,0.5,0.1,0.3,0.7,0.4,0.0,0.06,0.02,0.04,0.05,0.08,0.01
10.0,10.0,0.5,0.2,0.3,0.8,0.4,0.1,0.06,0.02,0.04,0.03,0.08,0.01
10.0,10.0,0.5,0.1,0.3,0.8,0.4,0.2,0.05,0.02,0.03,0.04,0.06,0.01
10.0,10.0,0.5,0.0,0.2,0.8,0.4,0.3,0.05,0.04,0.03,0.05,0.04,0.02
10.0,10.0,0.5,0.9,0.3,0.8,0.4,0.3,0.03,0.05,0.03,0.05,0.03,0.01
10.0,10.0,0.7,0.9,0.3,0.8,0.5,0.3,0.05,0.06,0.04,0.09,0.03,0.04
10.0,10.0,0.7,0.2,0.5,0.1,0.2,0.3,0.03,0.06,0.02,0.05,0.03,0.06
10.0,10.0,0.4,0.3,0.5,0.1,0.5,0.5,0.03,0.03,0.02,0.03,0.02,0.01
10.0,10.0,0.2,0.2,0.6,0.8,0.5,0.2,0.08,0.03,0.06,0.06,0.01,0.05
10.0,10.0,0.0,0.1,0.4,0.7,0.9,0.5,0.08,0.05,0.1,0.04,0.03,0.03
10.0,10.0,0.0,0.0,0.4,0.7,0.0,0.5,0.07,0.05,0.09,0.05,0.03,0.03
10.0,10.0,0.1,0.9,0.4,0.7,0.0,0.4,0.05,0.06,0.08,0.05,0.01,0.02
13.0,13.0,0.0,0.6923076923076923,0.07692307692307693,0.7692307692307693,0.5384615384615384,0.6923076923076923,0.011834319526627219,0.03550295857988166,0.0650887573964497,0.029585798816568046,0.04142011834319527,0.029585798816568046
10.0,10.0,0.3,0.4,0.0,0.6,0.1,0.0,0.05,0.06,0.06,0.06,0.05,0.01
10.0,10.0,0.2,0.1,0.9,0.7,0.2,0.0,0.07,0.01,0.04,0.07,0.02,0.03
10.0,10.0,0.0,0.0,0.7,0.6,0.4,0.2,0.07,0.06,0.05,0.03,0.02,0.04
10.0,10.0,0.0,0.9,0.7,0.5,0.3,0.2,0.07,0.06,0.03,0.03,0.04,0.06
10.0,10.0,0.6,0.0,0.5,0.9,0.4,0.1,0.02,0.03,0.02,0.04,0.01,0.01
10.0,10.0,0.1,0.1,0.6,0.4,0.8,0.7,0.08,0.07,0.07,0.02,0.08,0.03
10.0,10.0,0.9,0.7,0.0,0.3,0.2,0.0,0.05,0.06,0.03,0.05,0.04,0.04
